BL-001 	T 	BL 	F 	단추 여밈의 전체 오픈형
BL-001 	T 	BL 	F 	스탠드 칼라와 브이넥 네크라인의 결합스타일
BL-001 	T 	BL 	F 	손목까지 내려오는 일자형 소매
BL-001 	T 	BL 	F 	여유로운 핏
BL-001 	T 	BL 	F 	어깨에서 허리까지 세로 절개에 풍성한 러플 장식
BL-001 	T 	BL 	F 	와이드 커프스
BL-001 	T 	BL 	M 	면 100%
BL-001 	T 	BL 	M 	구김이 가기 쉬운
BL-001 	T 	BL 	M 	드라이클리닝 권장
BL-001 	T 	BL 	C 	시원해 보이는 소라색(SKY BLUE)
BL-001 	T 	BL 	C 	단색의 깔끔한 느낌
BL-001 	T 	BL 	E 	여성스러운
BL-001 	T 	BL 	E 	페미닌한
BL-001 	T 	BL 	E 	세련된
BL-001 	T 	BL 	E 	사랑스러운
BL-001 	T 	BL 	E 	깔끔한
BL-001 	T 	BL 	E 	오피스룩
BL-001 	T 	BL 	E 	로맨틱한 데이트룩
BL-001 	T 	BL 	E 	포멀한 이미지
BL-001 	T 	BL 	E 	단정한 오피스걸 룩이미지
BL-002 	T 	BL 	F 	넓은 셔츠칼라 네크라인
BL-002 	T 	BL 	F 	앞중심에 반 오픈 끈여밈있는 스타일
BL-002 	T 	BL 	F 	드롭숄더
BL-002 	T 	BL 	F 	퍼프형 소매로 여성스러움을 가미함
BL-002 	T 	BL 	F 	세로 주름 조직
BL-002 	T 	BL 	F 	풍성한 여유가 있는 몸통
BL-002 	T 	BL 	M 	면
BL-002 	T 	BL 	M 	세로방향 크릴클 조직
BL-002 	T 	BL 	M 	비치는
BL-002 	T 	BL 	M 	얇은
BL-002 	T 	BL 	M 	드라이 클리닝
BL-002 	T 	BL 	C 	단색의
BL-002 	T 	BL 	C 	깔끔한 아이보리
BL-002 	T 	BL 	E 	여성스러운
BL-002 	T 	BL 	E 	편안한
BL-002 	T 	BL 	E 	복고풍의
BL-002 	T 	BL 	E 	로맨틱한
BL-002 	T 	BL 	E 	섹시한
BL-003 	T 	BL 	F 	앞 중심에 단추 여밈
BL-003 	T 	BL 	F 	칼라가 없는 넓고 깊게 파인 브이넥
BL-003 	T 	BL 	F 	엉덩이 밑으로 내려오는 긴 기장
BL-003 	T 	BL 	F 	손목, 팔꿈치 중간까지 오는 벌룬 소매
BL-003 	T 	BL 	F 	드롭숄더
BL-003 	T 	BL 	F 	가슴절개선 밑으로 플레어 지는 여유로운 핏
BL-003 	T 	BL 	F 	절개선 아래로 셔링 주름
BL-003 	T 	BL 	F 	소맷단 밴딩 처리
BL-003 	T 	BL 	F 	원단 끝 올풀림 디테일로 빈지티 해보임
BL-003 	T 	BL 	M 	면 100%
BL-003 	T 	BL 	M 	약간 비침이 있는
BL-003 	T 	BL 	M 	시원해 보이는
BL-003 	T 	BL 	M 	부드러운
BL-003 	T 	BL 	M 	줄무늬 조직
BL-003 	T 	BL 	M 	얇은
BL-003 	T 	BL 	M 	드라이클리닝 권장
BL-003 	T 	BL 	C 	부드러운 백 아이보리(IVORY)
BL-003 	T 	BL 	C 	단색의
BL-003 	T 	BL 	C 	줄무늬 조직
BL-003 	T 	BL 	E 	여성스러운
BL-003 	T 	BL 	E 	성숙한 이미지
BL-003 	T 	BL 	E 	빈티지한
BL-003 	T 	BL 	E 	시원해 보이는
BL-003 	T 	BL 	E 	청순한
BL-003 	T 	BL 	E 	내추럴한 바캉스룩
BL-004 	T 	BL 	F 	앞중심에 단추 여밈
BL-004 	T 	BL 	F 	칼라가 없는 라운드넥으로
BL-004 	T 	BL 	F 	골반 위에서 끝나는 짧은 기장
BL-004 	T 	BL 	F 	손목, 팔꿈치 중간까지 오는 벌룬 소매
BL-004 	T 	BL 	F 	허리라인 조정 가능한 허리끈 내장
BL-004 	T 	BL 	F 	허리끈으로 리본장식
BL-004 	T 	BL 	F 	앞판 양쪽에 핀턱 주름과 레이스 프릴 장식
BL-004 	T 	BL 	F 	허리끈 아래로 레이스로 프릴장식
BL-004 	T 	BL 	M 	면 100%
BL-004 	T 	BL 	M 	평직 + 레이스
BL-004 	T 	BL 	M 	약간 비침이 있는
BL-004 	T 	BL 	M 	구김이 가기 쉬운
BL-004 	T 	BL 	M 	손세탁
BL-004 	T 	BL 	C 	깔끔한 화이트(WHITE)
BL-004 	T 	BL 	C 	단색의
BL-004 	T 	BL 	E 	여성스러운
BL-004 	T 	BL 	E 	볼륨이 있어 귀여운
BL-004 	T 	BL 	E 	깔끔한
BL-004 	T 	BL 	E 	단정한 느낌
BL-004 	T 	BL 	E 	발랄하고 어려보이는
BL-004 	T 	BL 	E 	사랑스러운 데이트룩
BL-005 	T 	BL 	F 	앞단추 여밈의 전체 오픈형
BL-005 	T 	BL 	F 	칼라가 없는 라운드넥크라인
BL-005 	T 	BL 	F 	엉덩이 위에서 끝나는 짧은 기장
BL-005 	T 	BL 	F 	손목까지 내려오는 벌룬 소매
BL-005 	T 	BL 	F 	일자로 떨어지는 여유로운 핏
BL-005 	T 	BL 	F 	앞판 양쪽에 3줄씩 핀턱 장식
BL-005 	T 	BL 	F 	소맷단은 레이스 플레어 덧댐
BL-005 	T 	BL 	F 	밑단에 밴딩 처리 후 끈으로 묶어 고정 가능
BL-005 	T 	BL 	F 	등에 요크
BL-005 	T 	BL 	M 	레이온 100%
BL-005 	T 	BL 	M 	비침이 있는
BL-005 	T 	BL 	M 	구김이 가기 쉬운
BL-005 	T 	BL 	M 	드라이클리닝 권장
BL-005 	T 	BL 	C 	부드러운 크림색 아이보리(IVORY)
BL-005 	T 	BL 	C 	단색의 깔끔한 느낌
BL-005 	T 	BL 	E 	베이직한
BL-005 	T 	BL 	E 	시원해 보이는
BL-005 	T 	BL 	E 	깔끔한
BL-005 	T 	BL 	E 	단정한 이미지
BL-006 	T 	BL 	F 	여밈이 없는
BL-006 	T 	BL 	F 	칼라 없는 앞 중심 일자형 트임
BL-006 	T 	BL 	F 	네크라인에 달린 끈 장식으로 리본 매듭
BL-006 	T 	BL 	F 	엉덩이 위에서 끝나는 기장
BL-006 	T 	BL 	F 	손목까지 내려오는 소매
BL-006 	T 	BL 	F 	여유로운 핏
